Llamada,Bloque,Ítem,Pauta,Descripción,Respuestas,PENC,PECUF,PECC,PECN
Conv_035,,Manejo de Objeciones,¿El agente manejó adecuadamente las objeciones del cliente?,"El agente debe abordar cualquier preocupación u objeción del cliente de manera efectiva, proporcionando soluciones o aclaraciones que ayuden a superar la resistencia del cliente a la compra.
Ejemplo: ""Entiendo su preocupación por el precio, pero considere que está invirtiendo en calidad y durabilidad.""",No,X,,,
Conv_035,,Cierre de la Venta,¿El agente realizó un intento efectivo para cerrar la venta?,"El agente debe realizar un esfuerzo claro para cerrar la venta, utilizando técnicas de cierre que alienten al cliente a tomar una decisión positiva.
Ejemplo: ""¿Le gustaría proceder con la compra hoy para aprovechar esta oferta especial?""",No,X,,,
Conv_035,,Upselling/Cross-selling,¿El agente ofreció productos o servicios adicionales de manera apropiada?,"El agente debe identificar oportunidades para ofrecer productos o servicios adicionales que puedan ser de interés para el cliente, haciéndolo de manera natural y relevante.
Ejemplo: ""Veo que está interesado en este producto, también tenemos una versión mejorada que incluye...""",Sí,,X,,
Conv_035,Cumplimiento de Políticas y Procedimientos,Cumplimiento del Script,¿El agente siguió el script establecido sin desviaciones inapropiadas?,"El agente debe seguir el guion establecido, asegurándose de cubrir todos los puntos requeridos sin desviarse en temas no relacionados, a menos que sea necesario para personalizar la llamada.
Ejemplo: Seguir el guion pero adaptar la conversación según las respuestas del cliente.",Sí,,X,,
Conv_035,,Aceptación del cliente,¿Verifica la aceptación del cliente?,"En caso de venta, el cliente es consciente de la contratación",Sí,,X,,
Conv_035,,Uso de Herramientas del Sistema,¿El agente utilizó correctamente las herramientas del sistema durante la llamada?,"El agente debe utilizar las herramientas del sistema (como CRM o bases de datos) de manera eficiente para obtener y registrar información relevante sin causar retrasos o interrupciones en la conversación.
Ejemplo: Buscar rápidamente la información del cliente mientras continúa la conversación.",Sí,,X,,
Conv_035,,Cierre de contacto,¿El agente tipifica correctamente el cierre del contacto?,"El agente debe asegurarse de que la llamada se cierre correctamente en el sistema de gestión (CRM), marcándola como completada para evitar duplicaciones o seguimientos innecesarios.
Ejemplo: ""Cerrar la llamada en el CRM después de asegurarse de que todos los datos y notas están correctamente registrados.""",No aplica,,,,X
Conv_035,,Lectura del texto legal,¿Hace lectura del texto legal antes de presentar la oferta?,"En caso de venta, si hace lectura del texto legal correctamente",Sí,,X,,
Conv_035,,Mentira y/o engaño,¿Realiza la venta adecuadamente? (Sin utilizar mentira y/o engaño),El agente realiza la venta adecuadamente sin engañar y/o mentir al cliente en ningún momento de la llamada,No aplica,,,,X
Conv_035,,Cumplimiento de Normas Regulatorias (LOPD),¿El agente cumplió con las normativas legales y de privacidad aplicables?,"El agente debe cumplir con todas las normativas legales y de privacidad durante la llamada, incluyendo la obtención de consentimientos necesarios y el manejo adecuado de la información personal.
Ejemplo: Informar al cliente sobre la grabación de la llamada y pedir su consentimiento.",No,X,,,
Conv_035,,Tomador del seguro,¿La contratación se hace con el tomador del seguro?,"En caso de venta, el agente habla directamente con el tomador del seguro y no con un interlocutor, familiar, conocido...",No aplica,,,,X
Conv_035,,Cuestionario de salud,¿El agente rellena el cuestionario de salud de manera correcta y completa?,"En caso de venta, el agente rellena el cuestionario de salud de manera correcta y completa tal y como le responde el cliente sin omitir ninguna pregunta",No,X,,,
Conv_035,,Informar llamada grabada,¿El agente informa al cliente de que la llamada está siendo grabada al inicio de la conversación?,Al inicio de la conversación el agente debe informar de que la conversación está siendo grabada por motivos de calidad y seguridad,No,X,,,
Conv_035,Comentarios Adicionales,Observaciones del Evaluador,(Espacio para comentarios adicionales o sugerencias),,No aplica,,,,X
Conv_036,Comunicación,Saludo y Presentación,¿El agente se presenta siguiendo el estándar establecido (según el argumentario correspondiente)?,"El agente debe iniciar la llamada con un saludo adecuado, siguiendo el estándar establecido para el servicio. Esto establece un tono profesional y cortés desde el comienzo.",Sí,,X,,
Conv_036,,Claridad en la Comunicación,¿El agente se expresó de manera clara y comprensible?,"El agente debe hablar de manera clara y concisa, evitando jerga técnica innecesaria o expresiones confusas. El lenguaje debe ser accesible y comprensible para el cliente, asegurando que el mensaje se transmita correctamente.
Ejemplo: Explicar una oferta sin rodeos y utilizando términos sencillos.",No aplica,,,,X
Conv_036,,Personaliza en la llamada,¿El agente personaliza a lo largo de toda la llamada?,"El agente adapta su enfoque a las necesidades y características del cliente. Esto incluye usar el nombre del cliente, entender y responder de manera específica a sus inquietudes, ofrecer soluciones relevantes según su situación y mantener un tono de voz empático y cordial. La personalización implica que el agente no utilice respuestas genéricas, sino que haga sentir al cliente que su interacción es única, lo que mejora la experiencia del usuario y fortalece la relación con la marca.

El agente adapta la conversación para hacerla más cercana y relevante para el cliente. Esto incluye:
- Usar el nombre del cliente en lugar de dirigirse a él de forma genérica.
- Mostrar interés genuino por las necesidades del cliente, haciendo preguntas relacionadas con su situación o contexto.
- Ajustar el tono, el lenguaje y el ritmo según el perfil del cliente, ya sea formal o más relajado.
- Referirse a interacciones previas, si las hubiera, o conectar con algún detalle que el cliente haya mencionado durante la llamada.",No aplica,,,,X
Conv_036,,Escucha Activa,"¿El agente demostró habilidades de escucha activa, respondiendo adecuadamente a las necesidades del cliente?","El agente debe mostrar que está escuchando atentamente al cliente, respondiendo a sus preguntas y preocupaciones de manera adecuada. Esto incluye hacer pausas para permitir que el cliente hable y responder directamente a lo que dice.
Ejemplo: Parafrasear las preocupaciones del cliente para confirmar la comprensión.",No,X,,,
Conv_036,,Cortesía,¿El agente mantuvo un tono cortés y profesional durante toda la llamada?,"El agente debe mantener un tono respetuoso y profesional durante toda la llamada, evitando interrupciones, lenguaje inapropiado o un tono brusco.
Ejemplo: Mantener la calma y ser amable incluso si el cliente está frustrado.",No,X,,,
Conv_036,Conocimiento del Producto y Técnicas de Venta,Conocimiento del Producto/Servicio,¿El agente demostró un buen conocimiento del producto o servicio ofrecido?,"El agente debe demostrar un sólido conocimiento del producto o servicio que está vendiendo, pudiendo responder a cualquier pregunta que el cliente pueda tener.
Ejemplo: Explicar las características del producto con detalle y confianza.",Sí,,X,,
Conv_036,,Identificación de Necesidades,¿El agente identificó correctamente las necesidades del cliente antes de ofrecer el producto/servicio?,"El agente debe hacer preguntas abiertas para entender las necesidades y deseos del cliente antes de ofrecer un producto o servicio.
Ejemplo: ""¿Qué características busca en este tipo de producto?""",Sí,,X,,
Conv_036,,Presentación de Beneficios,¿El agente destacó claramente los beneficios del producto/servicio en relación a las necesidades del cliente?,"El agente debe presentar los beneficios del producto o servicio en términos que resuenen con las necesidades específicas del cliente, en lugar de simplemente listar características.
Ejemplo: ""Este producto le ayudará a ahorrar tiempo porque...""",Sí,,X,,
Conv_036,,Veracidad de la información,¿Informa de los productos de manera correcta y completa?,A lo largo de toda la llamada se informa al cliente de manera correcta y completa sin inducir a confusión u omitiendo información relevante para la contratación,No,X,,,
Conv_036,,Manejo de Objeciones,¿El agente manejó adecuadamente las objeciones del cliente?,"El agente debe abordar cualquier preocupación u objeción del cliente de manera efectiva, proporcionando soluciones o aclaraciones que ayuden a superar la resistencia del cliente a la compra.
Ejemplo: ""Entiendo su preocupación por el precio, pero considere que está invirtiendo en calidad y durabilidad.""",Sí,,X,,
Conv_036,,Cierre de la Venta,¿El agente realizó un intento efectivo para cerrar la venta?,"El agente debe realizar un esfuerzo claro para cerrar la venta, utilizando técnicas de cierre que alienten al cliente a tomar una decisión positiva.
Ejemplo: ""¿Le gustaría proceder con la compra hoy para aprovechar esta oferta especial?""",No aplica,,,,X
Conv_036,,Upselling/Cross-selling,¿El agente ofreció productos o servicios adicionales de manera apropiada?,"El agente debe identificar oportunidades para ofrecer productos o servicios adicionales que puedan ser de interés para el cliente, haciéndolo de manera natural y relevante.
Ejemplo: ""Veo que está interesado en este producto, también tenemos una versión mejorada que incluye...""",No aplica,,,,X
Conv_036,Cumplimiento de Políticas y Procedimientos,Cumplimiento del Script,¿El agente siguió el script establecido sin desviaciones inapropiadas?,"El agente debe seguir el guion establecido, asegurándose de cubrir todos los puntos requeridos sin desviarse en temas no relacionados, a menos que sea necesario para personalizar la llamada.
Ejemplo: Seguir el guion pero adaptar la conversación según las respuestas del cliente.",Sí,,X,,
Conv_036,,Aceptación del cliente,¿Verifica la aceptación del cliente?,"En caso de venta, el cliente es consciente de la contratación",Sí,,X,,
Conv_036,,Uso de Herramientas del Sistema,¿El agente utilizó correctamente las herramientas del sistema durante la llamada?,"El agente debe utilizar las herramientas del sistema (como CRM o bases de datos) de manera eficiente para obtener y registrar información relevante sin causar retrasos o interrupciones en la conversación.
Ejemplo: Buscar rápidamente la información del cliente mientras continúa la conversación.",No aplica,,,,X
